name,description,homepage,num_install_30d,num_install_90d,num_install_365d,num_install_on_request_30d,num_install_on_request_90d,num_install_on_request_365d,generated_date
astyle,"Source code beautifier for C, C++, C#, and Java",https://astyle.sourceforge.io/,197,712,3186,128,460,2062,2021-08-21
asuka,Gemini Project client written in Rust with NCurses,https://sr.ht/~julienxx/Asuka/,30,60,178,30,60,178,2021-08-21
asymptote,Powerful descriptive vector graphics language,https://asymptote.sourceforge.io,24,95,679,24,94,679,2021-08-21
asyncplusplus,Concurrency framework for C++11,https://github.com/Amanieu/asyncplusplus,3,8,79,3,8,79,2021-08-21
at-spi2-atk,Accessibility Toolkit GTK+ module,https://www.freedesktop.org/wiki/Accessibility/AT-SPI2,0,1,0,0,0,0,2021-08-21
at-spi2-core,Protocol definitions and daemon for D-Bus at-spi,https://www.freedesktop.org/wiki/Accessibility/AT-SPI2,0,1,0,0,0,0,2021-08-21
atari800,Atari 8-bit machine emulator,https://atari800.github.io/,14,48,202,14,48,201,2021-08-21
atasm,Atari MAC/65 compatible assembler for Unix,https://atari.miribilist.com/atasm/,9,35,64,9,35,64,2021-08-21
atdtool,Command-line interface for After the Deadline language checker,https://github.com/lpenz/atdtool,3,7,57,3,7,54,2021-08-21
aterm,Annotated Term for tree-like ADT exchange,https://strategoxt.org/Tools/ATermFormat,6,13,65,0,4,34,2021-08-21
atf,Automated testing framework,https://github.com/jmmv/atf,31,45,81,3,9,23,2021-08-21
athenacli,CLI tool for AWS Athena service,https://athenacli.readthedocs.io/en/latest/,30,89,377,30,89,377,2021-08-21
atk,GNOME accessibility toolkit,https://library.gnome.org/devel/atk/,9536,28504,155377,407,1340,14099,2021-08-21
atkmm,Official C++ interface for the ATK accessibility toolkit library,https://www.gtkmm.org/,784,3955,19161,479,2108,8767,2021-08-21
atkmm@2.28,Official C++ interface for the ATK accessibility toolkit library,https://www.gtkmm.org/,1744,7410,23270,206,932,1379,2021-08-21
atlantis,Terraform Pull Request Automation tool,https://www.runatlantis.io/,75,264,880,74,263,879,2021-08-21
atomicparsley,MPEG-4 command-line tool,https://github.com/wez/atomicparsley,1408,3308,10935,986,2326,7316,2021-08-21
atomist-cli,Unified command-line tool for interacting with Atomist services,https://github.com/atomist/cli#readme,22,42,115,22,42,115,2021-08-21
atool,Archival front-end,https://savannah.nongnu.org/projects/atool/,199,650,2387,199,650,2390,2021-08-21
ats2-postiats,Programming language with formal specification features,http://www.ats-lang.org/,6,14,123,6,14,120,2021-08-21
attr,Manipulate filesystem extended attributes,https://savannah.nongnu.org/projects/attr,0,0,0,0,0,0,2021-08-21
atuin,Improved shell history for zsh and bash,https://github.com/ellie/atuin,39,151,224,40,152,224,2021-08-21
aubio,Extract annotations from audio signals,https://aubio.org/,24,159,1123,23,149,1028,2021-08-21
audacious,Free and advanced audio player based on GTK+,https://audacious-media-player.org/,187,536,1774,186,534,1767,2021-08-21
